,UID,Term,Emic_Term,Translit,Scope,Tags,JoinKey,Def,Spec,Source
141,72,tash,تاش,,transoxania,distancemeasurement,72,"some Bukharan documents use term sang, likely calqued from this term, or vice versa",bukhara,1525.0
142,73,muhrluq nishan,مهرلوق نشان,muhrlūq nishān,transoxania,decree,73,"Attested in an early, 16th century Chaghatay yarliq by Shibanid ruler Nawruz Ahmad (r. 1522-6) in the Bukharan document collection.",bukhara,282.0
143,74,zamin-i mamlaka,زمین مملکه,zamīn-i mamlaka,persianate,agricultureproperty,74,"""mamalek or state lands mainly used for the maintenance of the military readiness of tribal levies and provincial bureaucracies""",,
144,75,asnad,اسناد,asnād,,decree,75,"""It is a confirmation of a land grant issued in favor of a certain Saiyid Naṣrallāh Khwāja 'in accordance with the ordinances (aḥkām) and decrees(asnād) issued by the great khaqans'"" - Kazakov translation of 1717f Bukharan document..",bukhara,282.0
145,76,constatatio,,,,terminologydiplomatics,76,"""... the right of the favored person to receive a form in which the right to the favored person to receive a renewed version of a previous grant is stated"" - often appearing in the emic form تجدید",,282.0
146,77,chak,چک,chak,transoxania,legal,77,"""There is a last remarkable feature in the document under discussion. The text has a self-identification, it is called chak, which in this context must mean 'legal document'.""",bukhara,282.0
147,77,chak,چک,chak,transoxania,legal,77,came to refer to a plot of land that has been delimited,ferghana,
148,77,chak,چک,chak,transoxania,legal,77,"""Grants of land were usually vague in terms of locational details. Once such a grant was made by the emperor or a noble, local revenue officials and village headmen were tasked with identifying a suitable plot of land, measuring it out, and writing out a document which described the location and adjoining properties. This document was the Chak Nama; the process of such measuring and recording was called 'chakbandi.' The Chak Nama documents was usually witnessed by locals and sealed by a qazi.""",india,992.0
149,78,sozimiz,سوزمیز,sözimiz,transoxaniairan,,78,"expression asserting assent to carry out an order: ""by the shah's order, my word.""",bukhara,282.0
150,78,sozimiz,سوزمیز,sözimiz,transoxaniairan,,78,"""As is well known, the formulary of Mongol documents was based on Uyghur patterns, thus the introductory words of the imperial decrees, the words üge manu ‘our word’, which expressed the order of the issuer of the document, was a calque of Turkic sözümüz... The use of these patterns was so tenacious that after the disappear- ance of Mongolian from the chancellery usage, Persian-language decrees went on using the Turkic phrase sözüm(üz) throughout the Qara-qoyunlu (ca. 1375– 1468), Aq-qoyunlu (1378–1508), and Timurid (1370–1506) periods (Busse 1959: 30–31, 148, 151, 154, 162, 171; Fekete 1977: 64, 72).""",mongols,
151,78,sozimiz,سوزمیز,sözimiz,transoxaniairan,,78,"""This practice, which was followed by the Tartars and the Turcomans, survived in Persia down to Shah Tahmasp.""",safavids,983.0
152,79,kura,کوره,kūra,transoxania,province,79,"Usage attested in a Bukharan endowment deed from the 13th century: ""Abu al-Fadl, leading the judiciary in the district (kūra) of Bukhara, and it's environs.""",,282.0
153,80,chaqar,چقر,,transoxania,,80,улица,bukhara,366.0
154,81,bunak,,,bukhara,tradefinancial,81,задаток,,383.0
155,82,qazi-khatti,,qażī-khaṭṭi,bukhara,tradefinancial,82,туземные векселя,bukhara,383.0
156,83,sar-u-pa,سر و پای,,bukhara,clothing,83,khalat,,459.0
157,85,turra,طرة,,arab_world,arab_world,85,"Referred to the ""long upper margin"" at the top of a document, which indicated wealth since it was a waste of paper.",,
158,86,arenga,,,,terminologydiplomatics,86,"""The last words introduce... the expression of the general principles which motivate the ruler's decision - what is called in the medieval diplomatic of Europe arenga.""",,
159,86,arenga,,,,terminologydiplomatics,86,expresses in general terms the motive for the issue of the document,,
160,87,alama,علامة,,islam,arab_world,87,A feature unknown in the Fatimid decrees is the reference to the ruler's ʿalāma authenticating the decree.,,
161,87,alama,علامة,,islam,arab_world,87,"""This ʿalāma , in principle inscribed by the sovereign’s own hand in the space provided for the purpose at the head of the document, beneath the basmala , consisted of a doxology, which varied under the different dynasties: al-ḥamdu li’llāh , under the Muʾminids and Saʿdids; al-ḥamdu li’llāh wa ’l-s̲h̲ukru li’llāh , under the Ḥafṣids; lā g̲h̲āliba illa’llāh under the Naṣrids of Granada. The ʿalāma was gradually replaced by illegible arabesque initials, and supplanted, in modern times, by the seal in indelible ink.""",,
162,88,invocatio,,,,terminologydiplomatics,88,"""The introduction comprises, first, the invocation (invocatio) of God, either by name or through a symbol such as the cross; second, the superscription (intitulatio), giving the name and title of the sender; and third, the address (inscriptio), naming those to whom the document is directed, usually followed by a formula of greeting (salutatio).""",,
163,88,invocatio,,,,terminologydiplomatics,88,taḥmīdiya,,
164,89,intitulatio,,,,terminologydiplomatics,89,"""The introduction comprises, first, the invocation (invocatio) of God, either by name or through a symbol such as the cross; second, the superscription (intitulatio), giving the name and title of the sender; and third, the address (inscriptio), naming those to whom the document is directed, usually followed by a formula of greeting (salutatio).""",,
165,90,inscriptio,,,,terminologydiplomatics,90,"""The introduction comprises, first, the invocation (invocatio) of God, either by name or through a symbol such as the cross; second, the superscription (intitulatio), giving the name and title of the sender; and third, the address (inscriptio), naming those to whom the document is directed, usually followed by a formula of greeting (salutatio).""",,
166,90,inscriptio,,,,terminologydiplomatics,90,"""After examining a number of diplomatic letters, I believe that the inscriptio can be divided into two broad types of honorifics: epitomaics and superlatives. By epitomaic, I mean compound phrases that use words - dastgāh-panāh-qabāb - to convey the inimitability of a ruler's approach to sovereingty, justice, and augustness (salṭanat, shaukat, jalālat). Epitomatic phrases, almost always written as Persian compounds, can run for several lines and are followed by an equally lengthy of superlatives praising the uniqueness of the addressee. Superlatives are usually Arabic constructs including māliku al-mamālik, sulṭānu al-salṭanat, and khwāqānu akramu"" (185).",,
167,91,salutatio,,,,terminologydiplomatics,91,"""The introduction comprises, first, the invocation (invocatio) of God, either by name or through a symbol such as the cross; second, the superscription (intitulatio), giving the name and title of the sender; and third, the address (inscriptio), naming those to whom the document is directed, usually followed by a formula of greeting (salutatio).""",,
168,91,salutatio,,,,terminologydiplomatics,91,"""The opening protocol of imperial tarassul is concluded with the taqdīm-i khadamat (greetings) and sharḥ-i ishtīyāq (expressions of eagerness); this section, the salutatio, is dedicated to communicating felicitations and guarantees of mutual concord (maḥabbat, ittiḥād) and friendly relations (vidād, mūvadat).""",,
169,92,promulgatio,,,,terminologydiplomatics,92,"""The notification (promulgatio), briefly explaining the legal purpose of the document, is followed by the narratio, or exposition of the particular circumstances involved.""",,
170,93,narratio,,,,terminologydiplomatics,93,"""The notification (promulgatio), briefly explaining the legal purpose of the document, is followed by the narratio, or exposition of the particular circumstances involved.""",,
171,93,narratio,,,,terminologydiplomatics,93,متن,,
172,94,dispositio,,,,terminologydiplomatics,94,"""In the dispositio the donor or promulgator firmly declares his purpose (“I hereby decree” or “I hereby give”); this clause is the vital core of the document, its legal decree of enactment.""",,
173,95,sanctio,,,,terminologydiplomatics,95,"""The notification (promulgatio), briefly explaining the legal purpose of the document, is followed by the narratio, or exposition of the particular circumstances involved. In the dispositio the donor or promulgator firmly declares his purpose (“I hereby decree” or “I hereby give”); this clause is the vital core of the document, its legal decree of enactment. There usually followed the sanctio, a threat of punishment should the enactment be violated.""",,
174,96,corroboratio,,,,terminologydiplomatics,96,"""The main text concluded with the corroboratio, a statement of the means to be used for validation of the document.""",,
175,97,apprecatio,,,,terminologydiplomatics,97,"""The date and place of issue are given, and the final sentence, the apprecatio, is a short prayer for the realization of the contents of the charter. At the bottom of the document, the signs of validation (the recognition, monogram, seal) were then added.""",,
176,98,actum,,,,terminologydiplomatics,98,"""The date given on a document might be either that of legal enactment (actum) or that of the issue of the document recording the (already performed) legal enactment (datum).""",,
177,99,datum,,,,terminologydiplomatics,99,"""The date given on a document might be either that of legal enactment (actum) or that of the issue of the document recording the (already performed) legal enactment (datum).""",,
178,100,qabul,قبول,,indic,taxesdocument_type,100,"""qubuliyyat nāmah: a document of acceptance a written agreement especially one signifying assent. In Mughal administration it was a general practice to get qubuliyat namahs executed by the parties particularly a peasant or a leaseholder as the case might be.""",mughals,810.0
179,101,desmukh,دیسمکھ,,deccan,taxespolice,101,"""A hereditary native offer under the former governments, exercising chief police and revenue authority over a district... entitled to the various fees and allowances, corresponding generally to the Zamindars of Bengal""",,508.0
180,102,zamindari,زمینداری,,indic,,102,"""Its use orginated in India, the word being practically unknown in Persia. In India, however, it occurs quite early; an early-fourteenth century dictionary uses it as a synonym of marzbān, explained as 'overseer (shaḥna) of a territory.'""",mughals,544.0
181,102,zamindari,زمینداری,,indic,,102,"Common synonyms: būmī, mālik, ta'alluq-dar",mughals,544.0
182,102,zamindari,زمینداری,,indic,,102,No official restrictions on sale and transfer of zamindari rights.,mughals,544.0
183,103,despandi,دیسپندی,,deccan,taxespolice,103,"""A hereditary native offer under the former governments, exercising chief police and revenue authority over a district... entitled to the various fees and allowances, corresponding generally to the Zamindars of Bengal""",,
184,104,mutasaddi-giri,متصدیگیری,,indic,clerkship,104,"""The term mutaṣaddī is sometimes taken to mean 'a clerk' (e.g. Wilson, Glossary, 359), but it appears to have been used in a more general sense, for 'the official""",,519.0
185,105,muzafat,مضافات,,transoxania,province,105,بلاد و نواحی که به شهری وابسته باشند,,8.0
186,105,muzafat,مضافات,,transoxania,province,105,Закаспийская область: مضافات عشق آباد,bukhara,503.0
187,105,muzafat,مضافات,,transoxania,province,105,Заравшанский округ: مضافات زرفشان,transoxania,1164.0
188,106,paygah,پیگاه,,deccan,military,106,"""The term 'Paigah' is a Persian word meaning 'stable.' But in the historical documents of Hyderabad the word is used to mean the Nizam's household troops. One Abdul Fathe Khan who received the title of Tegh Jang from Nizam Ali, commanded about 10,000 cavalry which formed the nucleus of the Paigah.""",deccan,502.0
189,106,paygah,پیگاه,,deccan,military,106,"""The paigah estates formed the second private landholding group within Hyderabad State. Unlike the samasthans, the paigah estates were of more recent origins... The term came to be applied to those who supplied cavalry. The paigahs were also sometimes called jamiat jagirs (a landholder who provided troops).""",deccan,
190,108,yawmiyya,یومیه,,indic,stipend,108,"""A daily allowance to pensioners of any kind.""",,508.0
191,109,parwana,پروانه,,,superior_to_juniordecree,109,"""a letter from a man in power to a dependent... a warrant, a license, a writ""",,508.0
192,109,parwana,پروانه,,,superior_to_juniordecree,109,پروانه یعنی فرمان پادشاهان و امر و اجازه آنان که معرب آن فروانق است ,,982.0
193,109,parwana,پروانه,,,superior_to_juniordecree,109,"A generalized category: ""Every order from a superior official or a noble assumes the common term of a parvana.""",,983.0
194,109,parwana,پروانه,,,superior_to_juniordecree,109,"""Orders issued by nobles, not of the Mughal household, and including by Rajput nobles, later kings in their own right. Notably, in the Bijapur Sultanate, the word ‘parvangi’ was used to refer to a farman’s imperative content. Rajput imperial nobles who were semi-autonomous even during Mughal rule, continued to use parvanas when they became independent rulers in the eighteenth century.""",india,992.0
195,110,dastak,دستک,,indic,superior_to_juniordocument_type,110,"""A passport, a permit.""",,508.0
196,110,dastak,دستک,,indic,superior_to_juniordocument_type,110,"""In the early days of the British government, a document authorizing the free transit of certain goods, and their exemption from custom dues, in favour of English traders.""",british,508.0
197,110,dastak,دستک,,indic,superior_to_juniordocument_type,110,"""In later times [during the British Raj, this term] applies more generally to a summons, a writ, a warrant; especially to a process served on a revenue defaulter, to compel him to pay any balance that may be due.""",british,508.0
198,110,dastak,دستک,,indic,superior_to_juniordocument_type,110,"Example of Parwana and Dastak being used near-interchangeably: ""furnishing me with a 'Purwannah' or 'Dustuk' to deliver to the Guard...""",,507.0
199,110,dastak,دستک,,indic,superior_to_juniordocument_type,110,"""a permit, a voucher or a certificate issued by the respective ministries""",mughals,983.0
200,110,dastak,دستک,,indic,superior_to_juniordocument_type,110,"""Routine orders by lower level officials were referred to as Dastak. Such orders could pertain to a variety of matters, such as right of travel - for which a 'dastak-i rahdari' was issued. Dastaks permitting duty-free transit of commercial goods came to be wildly replicated and abused by East India Company officials in Bengal in the mid-eighteenth century, leading to a conflict with the incumbent Nawab of Bengal, Mir Qasim.""",india,992.0
201,111,muqaddama,مقدمه,,indic,legal,111,"""Business, affair, especially law affairs, a law suit.""",,508.0
202,111,muqaddama,مقدمه,,indic,legal,111,Quite clear from Qanuncha that muqaddama refers to a legal case in 19th century Hyderabad.,deccan,788.0
203,111,muqaddama,مقدمه,,indic,legal,111,a legal case,india,
204,112,qawl,قول,,indic,superior_to_junior,112,"""the term is used in various deeds granted by superiors to inferiors, in which the engagement implies an act of grace or favour""",,508.0
205,112,qawl,قول,,indic,superior_to_junior,112,"""In revenue transactions a Kaul usually means the document granted by the collector, proprietor, or receiver of the revenue to the subordinate payer of the revenue, or the actual cultivator, stating the terms of the agreement and the amount to be paid, and securing him against further demands...""",,508.0
206,113,bayz,بیض,,indic,seal,113,"""A sort of cipher or monogram formerly affixed to a written paper in place of a signature by Mohammedan functionaries and persons of rank.""",mughals,508.0
207,113,bayz,بیض,,indic,seal,113,A mark fixed to public writings by the magistrate or any principal officer.,,
208,113,bayz,بیض,,indic,seal,113,"Some documents may have only letter ص, usually in bold nib and by a different hand.",mughals,
209,113,bayz,بیض,,indic,seal,113,"The mark is positioned at the end of the document. ""It indicates 'the end', to obviate any later additions by an unauthorized person. It is not clear, however, when the practice was adopted."" (But it is attested as of a 1606 Jahangir farman.)",mughals,519.0
210,113,bayz,بیض,,indic,seal,113,"""Approbation and corrections were indicated thus: یص or by such words as 'bayḍ' and ص.""",,983.0
211,114,bayzana,بیضانه,,indic,sealfinancial,114,"""Fee to magistrates or public officer for affixing his cypher to a deed or document.""",mughals,508.0
212,116,muwafiq-i aslihi,موافق اصله,,,,116,"Note direct Britisher equivalent ""a true copy.""",,
213,117,kos,کوس,,indic,distance,117,"""A measure of distance varying, in different parts of India, from one to two miles, but most usually about the latter... the Kos = 5000 Gaz; and the value depends therefore on that of the Gaz, which at one time varied considerably...""",,508.0
214,119,ta'alluq,تعلق,,indicmughal,land_grant,119,"""an estate... a tract of proprietary land usually smaller than a Zamindari, although sometimes including several villages, and not infrequently confounded with a Zamindari...""",,508.0
215,120,infisal,انفصال,infiṣāl,indic,,120,"""Decision, sentence, award, settlement of an affair.""",,508.0
216,121,jama-bandi,جمعبندی,jamaʿ-bandī,indic,taxes,121,"""Settlement of the amount of revenue assessed upon an estate, a village, or district; a village or district rent-roll...""",228,508.0
217,123,sarkar,سرکار,,indic,,123,"""By the final decade of the eighteenth century, the British East India Company had settled upon an official Persian title for its burgeoning state in India: Sarkar-i Kampani Angrez Bahadur, or “the Government of the Hon’ble [English] Company... Like the code itself, the Company’s adoption of the term “sarkar” had far-reaching effects. Indeed, sarkar remained the primary word by which the colonial state was represented in Indian languages until the mid-twentieth century (when it was replaced by the now more widely known “Raj”), and it continues to be used in both colloquial and official registers of contemporary Hindi/Urdu to denote “the state'... Yet the Company’s choice of the word “sarkar” is, on the surface, a curious one, as the term in eighteenth-century Indo-Persian usage typically connoted not “the state” (at least not in the “modern” sense) but rather one of many competing elite households""",british,
218,123,sarkar,سرکار,,indic,,123,"""Although the word was used in Mughal imperial histories and administrative documents since at least the late-sixteenth century (if not earlier), it did not find its way into Indo-Persian lexicons until the eighteenth century"" (2).",mughals,
219,123,sarkar,سرکار,,indic,,123,"""The term sarkār was widely used in the Mughal period for the administration of a prince or a noble as well as for the sub-division of a province"" citing Irfan Habib.",mughals,519.0
220,124,mu'amala,معامله,,indic,taxes,124,"""Affair, business, negotiation, jurisdiction, suit, management, or conduct of public affairs; civil employment under the government in the south of India, especially in the collection of revenue, and management of a district.""",,508.0
221,125,dafa-dar,دفعدار,,indic,military,125,"""Commandant of a body of horse, head of a party of police, a police officer.""",british,508.0
222,126,muqaddam,,,indic,,126,"""in India applied especially to the head man of a caste or corporattion""",,508.0
223,127,hawal-dar,حواله دار,,indic,,127,"""a native officer of the Indian army, subordinate to the Subahdar""",,508.0
224,127,hawal-dar,حواله دار,,indic,,127,"""a subordinate revenue officer, a kind of deputy of the Mamlatar, who was charged with the collection and remittance of the revenue of the district, and empowered to administer justice in petty complaints""",,508.0
225,128,istighasa,,,indic,legal,128,"""Demanding justice, preferring a complaint.""",,508.0
226,128,istighasa,,,indic,legal,128,"Arabic term means ""appeal for aid.""",,
227,129,banda-nawaza,بنده نوازا,banda-nawāzā,,salutationhonorific,129,"""'Oh you, who treat your slaves with clemency,' formula used as address in letters to the rulers of 19th and early 20th century Bukhara.""",bukhara,282.0
228,129,banda-nawaza,بنده نوازا,banda-nawāzā,,salutationhonorific,129,"""O servant-succoring lord""",,
229,130,kachheri,کچھری,,indic,,130,"""A court, a hall, an office, the place where any public business is transacted.""",,508.0
230,131,qalami shud,قلمی شد,,indic,,131,"""""The words qalamī shud appear to be in answer to be in answer to qalamī numāyand, as if to say that the orders had been duly carried out in drawing up the document.""",mughals,519.0
231,132,mīm,م,,indic,abbreviation,132,"Occurs frequently in Mughal documents. ""We have noticed that sometimes it is placed below the endorsement containing the words muṭlaʿ shud, which suggests that it might be an abbreviation for these words. In that case it would signify something like 'orders recieved'.""",mughals,519.0
232,133,ilaqa,علاقه,,mughal,land_grant,133,"""The ilaqas were the premier group of jagirs. Ilaqa refers to a property or estate... The ilaqas included the estates of Salar Jung, Kishen Pershad, Khan Khanan, and Fakhr ul Mulk. The largest ilaqa in Hyderabad was that held by Salar Jung.""",deccan,
233,134,tuyul,تیول,,,land_grant,134,The term used for the prince's jāgīr here is tuyūl which was in use in Persia from the fourteenth century onwards synonymously with jāgīr. Sometimes tuyūl refers specifically to princely land.,mughals,519.0
234,136,in'am,انعام,,indic,land_grantsuperior_to_junior,136,"""Inʿām ordinarily would mean a gift, a benefaction in general or a gift by a superior to an inferior (Wilson, Glossary, 217)... Since this in'am was to be held on the same basis as jagir but without holding any rank and without any obligation on the part of the grantee (except of course his voluntary 'prayers'), it is evident that in'am in this farman is synonymous with madad-i ma'ash...""",mughals,519.0
235,137,chawki,چوکی,,indic,,137,"""According to Abu Fazl, the four divisions of the army were divided into seven parts, each of which was appointed for twenty four hours to attend upon the Emperor. This mounting [sic.] guard was called 'chauki' in Hindi. For some additional detail of the mounting guard, see Bernier...""",mughals,519.0
236,138,qanun-gu,قانونگو,,indic,taxes,138,"""The primary functions of the qānūngo were related to land and its revenue. The office was almost invariably held for life and generally ran in the family. The qanungo was expected to provide all information on revenue receipts, area statistics, local revenue rates, and practices and customs of the pargana.""",mughals,529.0
237,139,muchalka,مچلکه,,,financialdocument_type,139,لفظی است ترکی به معنی عهدنامه,,8.0
238,139,muchalka,مچلکه,,,financialdocument_type,139,"""A bond, note of hand, agreement, written obligation, recognizance, engagement.""",,528.0
239,139,muchalka,مچلکه,,,financialdocument_type,139,"""Under the administration of the Asaf Jahs there developed a system of farming out administrative subjects like collection of revenue, postal service, or mint service.""",deccan,810.0
240,139,muchalka,مچلکه,,,financialdocument_type,139,"""In its wider application, it signifies an acknowledgment of a possession taken over, and in this respect might have been a counterpart sanad of the baz-nama and the ibra-nama.""",mughals,983.0
241,140,bigar,بیگار,,,,140,"bīgār (بیگار) and ḥashar (حشر): In Central Asia these two terms often appear together to refer to the mobilization of the population for the construction of large buildings, defense works and roads, flushing game on hunts, and agricultural labor, as well as the activities described under qazu and qachu above. These kinds of duties were common on the commoners throughout the Muslim world, and exemption from them was frequently specified in royal edicts. The difference between bīgār and ḥashar are unclear; they are near-synonyms.",transoxania,
242,140,bigar,بیگار,,,,140,"""Bīgār and Shikār: These two rhyming words always appear together... Since it does not appear in the lists of the Abvāb of Fīrūz Shāh Tughluq and that of Akbar... it may be safely presumed that bīgār must have entered India some time in the wake of the Mughals from its land Turkestan, where it remained as a curse of the serfdom under the despotism of the Khanate till the end of the 19th century.""",mughals,983.0
243,141,hashar,حشر,ḥashar,,,141,"bīgār (بیگار) and ḥashar (حشر): In Central Asia these two terms often appear together to refer to the mobilization of the population for the construction of large buildings, defense works and roads, flushing game on hunts, and agricultural labor, as well as the activities described under qazu and qachu above. These kinds of duties were common on the commoners throughout the Muslim world, and exemption from them was frequently specified in royal edicts. The difference between bīgār and ḥashar are unclear; they are near-synonyms.",transoxania,
244,142,kharita,خریطه,,deccan,,142,"""All important letters were received in letter bags (Kharitahs) were brought to the Nizam or taken back by these Mamas [women officials who could enter the harem.""",,535.0
245,142,kharita,خریطه,,deccan,,142,"""A letter bag (Kharitah) had a string running round its mouth. After inserting the outgoing mail inside, the strings were pulled tight and tied up in suitable knots. The ends of these strings were again fixed in a waxed seal.""",deccan,810.0
246,142,kharita,خریطه,,deccan,,142,"in the Rajasthan State Archive this term seems to refer to a kind of document, high-level correspondence; term kharita even used in Rajasthani-language docs.",rajasthan,
247,143,qabala,قباله,,,contract,143,"""any contract of bargain or sale signed by a judge, a bond, a bill of sale, title-deeds, and the like""",india,508.0
248,143,qabala,قباله,,,contract,143,"From Iranica article on Central Asian economy from the Timurids to the 18th century: ""In the legal documents—waqf deeds, sales (qabāla­jāt), court registrations of sales (eqrārāt)—three types of ownership are recognized: private (melk), trust (waqf), and state (mamlaka or mamlaka-ye pādšāhī). Ownership adheres to the individual or entity with the right, conditional or unrestricted, of disposal of prop­erty through sale, gift, bequest, inheritance, or trust.""",,
249,143,qabala,قباله,,,contract,143,qabālāt-i sharʿīya could refer generally to legal documents,mughals,983.0
250,143,qabala,قباله,,,contract,143,"""This is the generic Arabic and Persian term for a legal document, usually one involving an inter-personal contract.""",india,992.0
251,144,yad,یاد,,,equal_to_equal,144,"""a note addressed to an equal on official subjects""",india,508.0
252,144,yad,یاد,,,equal_to_equal,144,"""Yadi (Memorandum): The yadi, yad, or yad-dasht was a memorandum. It derives from the Persian noun 'yad' and verb phrase 'yad dashtan,' which mean 'memory' and 'to remember,' respectively. Mughal chancelleries relied on the yad-dasht to record the details of numerous and wide-ranging administrative operations, from the branding and verification of horses (yad-dasht-i dagh wa tashiha) to the receipt of monies (yad-dasht-i wusul) to the attendance, promotion, and death of soldiers. Local notables and officials verified the information contained in yad-dashts by applying seals and writing endorsements. For example, memoranda on the collection of revenue from lands granted in the Deccan (yad-dasht-i hal wa hasil) featured Marathi endorsements of district-level record-keepers (deshpande). Whereas the Mughal yad-dasht was thoroughly administrative in function, its offshoot genre of yad or yadi in the Maratha Empire was used for both administrative and diplomatic purposes. Maratha rulers exchanged yadis containing the proposed terms and conditions of an anticipated alliance or reconciliation following conflict.""",india,992.0
253,146,zabita,ضابطه,żābita,indic,law,146,"""A rule, a statute, a law.""",india,508.0
254,146,zabita,ضابطه,żābita,indic,law,146,"In Akhlaq literature (e.g. Kashifi), ضابطه is a ""controlling force,"" related to the ruler's punitive capacity (سیاست), and used to uphold the law (شریعه و قانون).",,
255,146,zabita,ضابطه,żābita,indic,law,146,nature of an addendum to a دستور to which it is subordinate,,
256,147,zabt,ضبط,,,,147,"""... taking lands under the management of the government officers...""",india,508.0
257,147,zabt,ضبط,,,,147,in accordance with government law / practice: موافق ضابطه سرکار,deccan,507.0
258,148,ru bi-kari,روبکاری,,indic,law,148,"""The written record of a case, stating the particulars and the grounds of the decision drawn up and authenticated in a Company's court, on passing sentence.""",british,508.0
259,148,ru bi-kari,روبکاری,,indic,law,148,mandamus: a judicial writ issued as a command to an inferior court or ordering a person to perform a public or statutory duty,modern,
260,148,ru bi-kari,روبکاری,,indic,law,148,کسی اعلیٰ عدالت کی جانب سے کسی ماتحت عدالت، حکومت، شرکہ یا عوامی اتھارٹی کو جاری ہونے والے حکم نامہ کو کہا جاتا ہے۔ روبکار میں کوئی کام کرنے (یا نا کرنے) کے لیے ذیلی انتظامیہ کو حکم دیا جاتا ہے جو قانوناً اسے پورا کرنا ہوتا ہے,modern,
261,148,ru bi-kari,روبکاری,,indic,law,148,The ru-bikar-nawis is someone who records legal proceedings: روبکار نویس حکمیکه ناظم در اجلاس صادر فرماید تحریر ان باختیار او ست,deccan,790.0
262,148,ru bi-kari,روبکاری,,indic,law,148,"Nandini Chatterjee (via Elizabeth Thelen): ""They appear to be a colonial form/invention that came into use in Bengal around the 1780s, becoming quite popular in the early 19th centuryThey are somewhat similar to surat-i hal documents, a genre that is seen in earlier periodsThey usually follow a dispute and are often issued by the district commissioner.""",british,
263,148,ru bi-kari,روبکاری,,indic,law,148,"""As a common term used in the office parlance for *proceedings*, it serves as an official order of the divani issued in the names of the local authorities announcing a royal mandate regarding the confirmation of land grants made in previous farmans of the Emperors.""",mughals,983.0
264,149,risala,,,,,149,"glossed as ""troops"" in British report",deccanbritish,543.0
265,150,muhtarifa,محترفه,,,taxes,150,Right of Zamindars documented in Bihar and Bengal during the Mughal period.,mughals,544.0
266,151,kharij az jam,خارججمع,,indic,taxes,151,Lit. outside of the جمعبندی,,
267,151,kharij az jam,خارججمع,,indic,taxes,151,مستغل و املاک مفروز و موضوع از طومارجمعبندی,,8.0
268,152,chawar,چاور,,indic,measurementdistance,152,"""A measure of land, 120 square bighas.""",,508.0
269,153,ra'iat-wari,رعیت واری,,indic,taxesagriculture,153,"""... familiarly applied to the revenue settlement which is made by the government officers with each actual cultivator of the soil for a given term, usually a twelvemonth, at a stipulated money rent, without the intervention of a third party""",british,508.0
270,153,ra'iat-wari,رعیت واری,,indic,taxesagriculture,153,"""it is the mode of assessment which prevails chiefly, although not exclusively, in the provinces of the Madras presidency""",british,508.0
271,153,ra'iat-wari,رعیت واری,,indic,taxesagriculture,153,Active system in the Assigned Districts of Berar,deccan,548.0
272,154,mufassal,مفصل,,indic,province,154,"""in Hindustan, a subordinate or separate district; the country, the provinces, or the stations in the country, as opposed to the Sadar, or principal station or town""",,508.0
273,155,karbari,کارباری,,indic,,155,"""A person conducting affairs, a minister, a public officer, a merchant, a manager, a shopkeeper.""",british,508.0
274,156,hundi,هندی,,,financial,156,"""A bill of exchange.""",india,508.0
275,158,alaman,,,transoxania,,158,"""The principal motivation for recruiting Turkmen into the Uzbek state system was their effectiveness as members of alamans (raiding parties). As we saw earlier, the Turkmen and Uzbek term for a raid itself is chapaaul... The alamans were sometimes very large squadrons that were mustered for the purpose of pillaging and capturing booty, mainly from Persians or Bukharans.""",,
276,159,chaknāma,چکنامه,,indic,land_grant,159,"﻿According to Wilson, a Chaknāma is ""a register of the extent and boundaries of a detached or separate piece of land, or a separate village. A grant authorizing individuals to hold alienated lands, and specifying their limits.""",,508.0
277,159,chaknāma,چکنامه,,indic,land_grant,159,"""Grants of land were usually vague in terms of locational details. Once such a grant was made by the emperor or a noble, local revenue officials and village headmen were tasked with identifying a suitable plot of land, measuring it out, and writing out a document which described the location and adjoining properties. This document was the Chak Nama; the process of such measuring and recording was called 'chakbandi.' The Chak Nama documents was usually witnessed by locals and sealed by a qazi.""",india,992.0
278,160,aliq,آلیق,,transoxania,taxes,160,پایمزد، باج، پولی که لوطیها و جاهلهای هر محل از عروسیها و مجالس مهم می گیرند,bukhara,701.0
279,161,khundighundi,گھںڈی,,indic,,161,دست چوب:... چوب مختصری که سرش خم دارم به شکل چوگان,delhi,702.0
280,162,sijill,سجل,,islam,legal,162,"""the sijill consists of a witnessed record of what the mahdar contained, together with the qadds decision (hukm) on the case""",,
281,162,sijill,سجل,,islam,legal,162,"خبر / گواهی مکتوب ممهور یا ممضی را، ""سجل"" / تصدیق گویند. سند، همانند ترازوی دو کفه ای، ""متن"" و ""سجل"" دارند",,
282,162,sijill,سجل,,islam,legal,162,can refer to the endorsement of a document,,
283,162,sijill,سجل,,islam,legal,162,"""A sijill is the judgment of a bench of qadis and a mufti acting as jurisconsult bearing the seal impressions of the bench and attestations of the witnesses. It contains a concise statement of the case, the points of determination, the particulars of the claim, the decision thereon and the reason for such decision (fayṣala).""",mughals,983.0
284,162,sijill,سجل,,islam,legal,162,beginning of such a verdict: الحال هیچ دعوی مدعیان مذبور از وجه مذبور نماند، این چند کلمه نوشته شد که وقت حاجت باشد فی التاریخ حکم شد که بدستور سابق قابض و متصرف باشد تحریر تاریخ,mughals,983.0
